Project,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.
Apache-AMQ,0.80%,5.81%,0.00%,0.64%,0.13%,0.03%,0.00%,92.59%
RedHat-AF,1.62%,2.18%,0.00%,0.22%,0.04%,0.00%,0.00%,95.94%
Jira-CRUC,0.18%,1.39%,0.00%,0.19%,0.00%,0.04%,0.00%,98.20%
RedHat-THORN,0.36%,6.24%,0.00%,0.00%,0.00%,0.00%,0.00%,93.39%
Apache-KARAF,0.25%,26.05%,0.00%,0.15%,0.00%,0.00%,0.00%,73.55%
Jira-CONFCLOUD,0.26%,0.41%,0.00%,0.07%,0.00%,0.00%,0.00%,99.26%
Apache-OODT,2.88%,5.38%,0.00%,0.58%,0.00%,0.00%,0.00%,91.16%
Apache-AXIS2,0.42%,1.26%,0.00%,0.24%,0.07%,0.02%,0.00%,98.00%
Apache-HUDI,0.80%,3.33%,0.00%,0.44%,0.10%,0.00%,0.00%,95.33%
Apache-GROOVY,0.07%,4.00%,0.00%,0.06%,0.01%,0.02%,0.00%,95.85%
JiraEcosystem-AG,0.13%,3.23%,0.00%,0.00%,0.00%,0.00%,0.00%,96.64%
RedHat-ENTMQMAAS,0.58%,1.73%,0.00%,0.13%,0.00%,0.04%,0.00%,97.52%
Apache-DRILL,1.15%,2.26%,0.00%,0.74%,0.13%,0.00%,0.00%,95.72%
Apache-HDFS,1.50%,0.71%,0.00%,1.27%,0.47%,0.02%,0.00%,96.03%
RedHat-JBDS,0.02%,3.86%,0.00%,0.07%,0.00%,0.00%,0.00%,96.05%
RedHat-JBPAPP,0.07%,6.76%,0.00%,0.03%,0.02%,0.00%,0.00%,93.12%
JiraEcosystem-PLUG,1.37%,4.64%,0.00%,0.34%,0.17%,0.00%,0.00%,93.48%
Apache-NUTCH,0.91%,5.79%,0.00%,0.47%,0.00%,0.00%,0.00%,92.83%
Apache-ACCUMULO,0.74%,1.58%,0.00%,1.20%,0.38%,0.02%,0.00%,96.08%
Apache-COCOON,0.30%,1.27%,0.00%,0.30%,0.00%,0.00%,0.00%,98.14%
RedHat-SB,0.30%,7.42%,0.00%,0.08%,0.00%,0.00%,0.00%,92.20%
Apache-JS2,1.55%,2.95%,0.00%,0.81%,0.37%,0.00%,0.00%,94.32%
Spring-SWF,1.20%,2.64%,0.00%,0.12%,0.06%,0.00%,0.00%,95.98%
RedHat-JBESB,0.90%,2.65%,0.00%,0.41%,0.03%,0.00%,0.00%,96.02%
Apache-MRM,0.40%,3.57%,0.00%,0.30%,0.05%,0.05%,0.00%,95.63%
RedHat-JBIDE,0.12%,3.78%,0.00%,0.04%,0.01%,0.00%,0.00%,96.05%
RedHat-JBTM,0.74%,3.87%,0.00%,0.38%,0.03%,0.00%,0.00%,94.98%
RedHat-JWS,0.10%,7.01%,0.00%,0.00%,0.00%,0.10%,0.00%,92.80%
Apache-ROL,0.33%,2.34%,0.00%,0.33%,0.05%,0.00%,0.00%,96.96%
RedHat-JBAS,0.42%,6.79%,0.00%,0.26%,0.01%,0.00%,0.00%,92.52%
JFrog-RTFACT,0.72%,1.34%,0.00%,0.49%,0.08%,0.00%,0.00%,97.37%
Apache-IOTDB,0.89%,1.48%,0.00%,0.94%,0.18%,0.04%,0.00%,96.48%
Jira-BCLOUD,0.18%,0.82%,0.00%,0.14%,0.00%,0.00%,0.00%,98.86%
Apache-TAP5,0.76%,2.69%,0.00%,0.36%,0.00%,0.00%,0.00%,96.18%
Jira-JRASERVER,0.29%,1.24%,0.00%,0.21%,0.02%,0.01%,0.00%,98.23%
Apache-DIRMINA,0.98%,1.24%,0.00%,0.80%,0.09%,0.00%,0.00%,96.90%
RedHat-OCPPLAN,2.66%,1.77%,0.00%,0.74%,0.30%,0.07%,0.00%,94.46%
Apache-FLINK,0.93%,2.32%,0.00%,0.62%,0.14%,0.01%,0.00%,95.99%
Apache-METRON,1.75%,3.45%,0.00%,0.55%,0.09%,0.00%,0.00%,94.17%
Spring-DATAMONGO,0.08%,8.80%,0.00%,0.19%,0.00%,0.00%,0.00%,90.93%
Apache-LOG4J2,0.50%,7.41%,0.00%,0.36%,0.08%,0.06%,0.00%,91.60%
Apache-BOOKKEEPER,1.55%,2.47%,0.00%,1.64%,0.09%,0.00%,0.00%,94.25%
Apache-STR,0.86%,0.66%,0.00%,0.13%,0.00%,0.00%,0.00%,98.34%
Apache-YARN,2.40%,0.98%,0.00%,0.75%,0.47%,0.00%,0.00%,95.40%
RedHat-MON,1.39%,2.12%,0.00%,0.95%,0.15%,0.00%,0.00%,95.40%
Spring-SPR,0.47%,2.17%,0.00%,0.20%,0.02%,0.01%,0.00%,97.13%
RedHat-JBEAP,0.09%,7.59%,0.00%,0.12%,0.00%,0.01%,0.00%,92.20%
Apache-PHOENIX,0.63%,3.66%,0.00%,0.73%,0.15%,0.00%,0.00%,94.84%
Apache-JCR,0.42%,11.56%,0.00%,0.73%,0.10%,0.00%,0.00%,87.18%
Apache-FALCON,0.94%,2.60%,0.00%,0.30%,0.04%,0.00%,0.00%,96.12%
RedHat-WELD,0.19%,1.99%,0.00%,0.08%,0.00%,0.00%,0.00%,97.74%
Apache-BIGTOP,0.26%,11.31%,0.00%,0.05%,0.00%,0.00%,0.00%,88.38%
Apache-SSHD,0.68%,3.41%,0.00%,0.98%,0.00%,0.00%,0.00%,94.92%
RedHat-OSSM,0.45%,3.93%,0.00%,0.40%,0.13%,0.00%,0.00%,95.09%
JiraEcosystem-PLE,0.07%,0.87%,0.00%,0.13%,0.00%,0.00%,0.00%,98.93%
Apache-SCB,1.06%,6.15%,0.00%,0.33%,0.04%,0.00%,0.00%,92.43%
Apache-SLIDER,2.06%,1.66%,0.00%,0.24%,0.16%,0.00%,0.00%,95.89%
RedHat-RFE,4.64%,0.87%,0.00%,0.99%,0.25%,0.00%,0.00%,93.26%
Jira-OPSGENIE,4.28%,1.71%,0.00%,0.55%,0.16%,0.00%,0.00%,93.30%
RedHat-QUARKUS,0.06%,5.10%,0.00%,0.13%,0.00%,0.00%,0.00%,94.71%
RedHat-ENTESB,0.16%,3.96%,0.00%,0.07%,0.00%,0.03%,0.00%,95.78%
RedHat-FUSETOOLS,0.20%,3.12%,0.00%,0.03%,0.00%,0.00%,0.00%,96.65%
Apache-RAVE,0.93%,3.73%,0.00%,0.08%,0.00%,0.00%,0.00%,95.26%
Apache-HIVE,0.57%,2.16%,0.00%,0.54%,0.11%,0.02%,0.00%,96.60%
Apache-KNOX,1.11%,13.96%,0.00%,0.69%,0.10%,0.03%,0.00%,84.09%
Apache-NETBEANS,0.02%,2.74%,0.00%,0.05%,0.02%,0.00%,0.00%,97.18%
Apache-SLING,0.96%,5.63%,0.00%,0.37%,0.04%,0.01%,0.00%,93.00%
Spring-STS,0.27%,1.38%,0.00%,0.11%,0.02%,0.00%,0.00%,98.21%
